ID;Population;Clone;ID_clone;date;Origin;Temperature;CPF;Total;Survived
59;r1;r1.1;r1.1a;24/03/2020;Rural;20 °C;Control;5;5
60;r1;r1.1;r1.1a;24/03/2020;Rural;24 °C;Control;5;5
147;r1;r1.1;r1.1b;26/03/2020;Rural;20 °C;Control;5;5
148;r1;r1.1;r1.1b;26/03/2020;Rural;24 °C;Control;5;5
77;r1;r1.1;r1.1b;24/03/2020;Rural;20 °C;CPF;5;0
78;r1;r1.1;r1.1b;24/03/2020;Rural;24 °C;CPF;5;0
209;r1;r1.1;r1.1a;28/03/2020;Rural;20 °C;CPF;5;0
210;r1;r1.1;r1.1a;28/03/2020;Rural;24 °C;CPF;6;1
95;r1;r1.2;r1.2b;25/03/2020;Rural;20 °C;Control;5;5
96;r1;r1.2;r1.2b;25/03/2020;Rural;24 °C;Control;5;5
101;r1;r1.2;r1.2a;25/03/2020;Rural;20 °C;Control;5;5
102;r1;r1.2;r1.2a;25/03/2020;Rural;24 °C;Control;5;5
43;r1;r1.2;r1.2a;23/03/2020;Rural;20 °C;CPF;5;0
44;r1;r1.2;r1.2a;23/03/2020;Rural;24 °C;CPF;5;0
167;r1;r1.2;r1.2b;26/03/2020;Rural;20 °C;CPF;5;0
168;r1;r1.2;r1.2b;26/03/2020;Rural;24 °C;CPF;5;0
11;r1;r1.3;r1.3b;23/03/2020;Rural;20 °C;Control;5;5
12;r1;r1.3;r1.3b;23/03/2020;Rural;24 °C;Control;5;5
13;r1;r1.3;r1.3a;23/03/2020;Rural;20 °C;Control;5;5
14;r1;r1.3;r1.3a;23/03/2020;Rural;24 °C;Control;5;5
207;r1;r1.3;r1.3b;28/03/2020;Rural;20 °C;CPF;5;0
208;r1;r1.3;r1.3b;28/03/2020;Rural;24 °C;CPF;5;0
365;r1;r1.3;r1.3a;07/04/2020;Rural;20 °C;CPF;5;0
366;r1;r1.3;r1.3a;07/04/2020;Rural;24 °C;CPF;5;0
19;r1;r1.4;r1.4b;23/03/2020;Rural;20 °C;Control;5;5
20;r1;r1.4;r1.4b;23/03/2020;Rural;24 °C;Control;5;5
341;r1;r1.4;r1.4a;05/04/2020;Rural;20 °C;Control;5;5
342;r1;r1.4;r1.4a;05/04/2020;Rural;24 °C;Control;5;5
75;r1;r1.4;r1.4b;24/03/2020;Rural;20 °C;CPF;5;0
76;r1;r1.4;r1.4b;24/03/2020;Rural;24 °C;CPF;5;0
137;r1;r1.4;r1.4a;25/03/2020;Rural;20 °C;CPF;5;0
138;r1;r1.4;r1.4a;25/03/2020;Rural;24 °C;CPF;5;0
379;r1;r1.5;r1.5a;08/04/2020;Rural;20 °C;Control;5;4
380;r1;r1.5;r1.5a;08/04/2020;Rural;24 °C;Control;5;3
387;r1;r1.5;r1.5b;09/04/2020;Rural;20 °C;Control;5;5
388;r1;r1.5;r1.5b;09/04/2020;Rural;24 °C;Control;5;5
381;r1;r1.5;r1.5a;10/04/2020;Rural;20 °C;CPF;5;0
382;r1;r1.5;r1.5a;10/04/2020;Rural;24 °C;CPF;5;0
383;r1;r1.5;r1.5b;10/04/2020;Rural;20 °C;CPF;5;1
384;r1;r1.5;r1.5b;10/04/2020;Rural;24 °C;CPF;5;0
103;r2;r2.1;r2.1b;25/03/2020;Rural;20 °C;Control;5;5
104;r2;r2.1;r2.1b;25/03/2020;Rural;24 °C;Control;5;5
111;r2;r2.1;r2.1a;25/03/2020;Rural;20 °C;Control;5;5
112;r2;r2.1;r2.1a;25/03/2020;Rural;24 °C;Control;5;5
45;r2;r2.1;r2.1a;23/03/2020;Rural;20 °C;CPF;5;0
46;r2;r2.1;r2.1a;23/03/2020;Rural;24 °C;CPF;5;0
377;r2;r2.1;r2.1b;08/04/2020;Rural;20 °C;CPF;5;3
378;r2;r2.1;r2.1b;08/04/2020;Rural;24 °C;CPF;5;0
15;r2;r2.2;r2.2a;23/03/2020;Rural;20 °C;Control;5;5
16;r2;r2.2;r2.2a;23/03/2020;Rural;24 °C;Control;5;5
293;r2;r2.2;r2.2b;01/04/2020;Rural;20 °C;Control;5;5
294;r2;r2.2;r2.2b;01/04/2020;Rural;24 °C;Control;5;5
249;r2;r2.2;r2.2b;29/03/1930;Rural;20 °C;CPF;5;4
250;r2;r2.2;r2.2b;29/03/2020;Rural;24 °C;CPF;5;5
253;r2;r2.2;r2.2a;29/03/1930;Rural;20 °C;CPF;5;5
254;r2;r2.2;r2.2a;29/03/2020;Rural;24 °C;CPF;5;5
107;r2;r2.3;r2.3a;25/03/2020;Rural;20 °C;Control;5;5
108;r2;r2.3;r2.3a;25/03/2020;Rural;24 °C;Control;5;5
295;r2;r2.3;r2.3b;01/04/2020;Rural;20 °C;Control;5;5
296;r2;r2.3;r2.3b;01/04/2020;Rural;24 °C;Control;5;5
35;r2;r2.3;r2.3b;23/03/2020;Rural;20 °C;CPF;5;1
36;r2;r2.3;r2.3b;23/03/2020;Rural;24 °C;CPF;5;0
163;r2;r2.3;r2.3a;26/03/2020;Rural;20 °C;CPF;5;1
164;r2;r2.3;r2.3a;26/03/2020;Rural;24 °C;CPF;5;0
63;r2;r2.4;r2.4b;24/03/2020;Rural;20 °C;Control;5;5
64;r2;r2.4;r2.4b;24/03/2020;Rural;24 °C;Control;5;5
235;r2;r2.4;r2.4a;29/03/1930;Rural;20 °C;CPF;5;0
236;r2;r2.4;r2.4a;29/03/2020;Rural;24 °C;CPF;5;0
241;r2;r2.4;r2.4b;29/03/1930;Rural;20 °C;CPF;5;0
242;r2;r2.4;r2.4b;29/03/2020;Rural;24 °C;CPF;5;0
65;r2;r2.5;r2.5a;24/03/2020;Rural;20 °C;Control;5;5
66;r2;r2.5;r2.5a;24/03/2020;Rural;24 °C;Control;5;5
193;r2;r2.5;r2.5b;28/03/2020;Rural;20 °C;Control;5;5
194;r2;r2.5;r2.5b;28/03/2020;Rural;24 °C;Control;5;5
131;r2;r2.5;r2.5a;25/03/2020;Rural;20 °C;CPF;5;0
132;r2;r2.5;r2.5a;25/03/2020;Rural;24 °C;CPF;5;1
237;r2;r2.5;r2.5b;29/03/1930;Rural;20 °C;CPF;5;1
238;r2;r2.5;r2.5b;29/03/2020;Rural;24 °C;CPF;5;0
367;r3;r3.1;r3.1a;08/04/2020;Rural;20 °C;Control;5;5
368;r3;r3.1;r3.1a;08/04/2020;Rural;24 °C;Control;5;5
369;r3;r3.1;r3.1b;08/04/2020;Rural;20 °C;Control;5;5
370;r3;r3.1;r3.1b;08/04/2020;Rural;24 °C;Control;5;5
41;r3;r3.1;r3.1b;23/03/2020;Rural;20 °C;CPF;5;0
42;r3;r3.1;r3.1b;23/03/2020;Rural;24 °C;CPF;5;0
273;r3;r3.1;r3.1a;30/03/2020;Rural;20 °C;CPF;5;1
274;r3;r3.1;r3.1a;30/03/2020;Rural;24 °C;CPF;5;4
105;r3;r3.2;r3.2a;25/03/2020;Rural;20 °C;Control;5;5
106;r3;r3.2;r3.2a;25/03/2020;Rural;24 °C;Control;5;5
113;r3;r3.2;r3.2b;25/03/2020;Rural;20 °C;Control;5;5
114;r3;r3.2;r3.2b;25/03/2020;Rural;24 °C;Control;5;5
127;r3;r3.2;r3.2b;25/03/2020;Rural;20 °C;CPF;5;1
128;r3;r3.2;r3.2b;25/03/2020;Rural;24 °C;CPF;5;1
329;r3;r3.2;r3.2a;03/04/2020;Rural;20 °C;CPF;5;5
330;r3;r3.2;r3.2a;03/04/2020;Rural;24 °C;CPF;5;4
195;r3;r3.3;r3.3b;28/03/2020;Rural;20 °C;Control;5;5
196;r3;r3.3;r3.3b;28/03/2020;Rural;24 °C;Control;5;5
389;r3;r3.3;r3.3a;09/04/2020;Rural;20 °C;Control;5;5
390;r3;r3.3;r3.3a;09/04/2020;Rural;24 °C;Control;5;5
211;r3;r3.3;r3.3b;28/03/2020;Rural;20 °C;CPF;6;6
212;r3;r3.3;r3.3b;29/03/2020;Rural;24 °C;CPF;5;4
243;r3;r3.3;r3.3a;29/03/1930;Rural;20 °C;CPF;5;3
244;r3;r3.3;r3.3a;29/03/2020;Rural;24 °C;CPF;5;5
279;r3;r3.4;r3.4a;31/03/2020;Rural;20 °C;Control;5;5
280;r3;r3.4;r3.4a;31/03/2020;Rural;24 °C;Control;5;5
319;r3;r3.4;r3.4b;03/04/2020;Rural;20 °C;Control;5;5
320;r3;r3.4;r3.4b;03/04/2020;Rural;24 °C;Control;5;5
285;r3;r3.4;r3.4b;31/03/2020;Rural;20 °C;CPF;5;3
286;r3;r3.4;r3.4b;31/03/2020;Rural;24 °C;CPF;5;1
391;r3;r3.4;r3.4a;09/04/2020;Rural;20 °C;CPF;5;2
393;r3;r3.4;r3.4a;09/04/2020;Rural;24 °C;CPF;5;1
225;r3;r3.5;r3.5a;29/03/2020;Rural;20 °C;Control;6;6
226;r3;r3.5;r3.5a;29/03/2020;Rural;24 °C;Control;5;5
231;r3;r3.5;r3.5b;29/03/2020;Rural;20 °C;Control;5;5
232;r3;r3.5;r3.5b;29/03/2020;Rural;24 °C;Control;5;4
37;r3;r3.5;r3.5a;23/03/2020;Rural;20 °C;CPF;5;2
38;r3;r3.5;r3.5a;23/03/2020;Rural;24 °C;CPF;5;2
307;r3;r3.5;r3.5b;02/04/2020;Rural;20 °C;CPF;5;2
308;r3;r3.5;r3.5b;02/04/2020;Rural;24 °C;CPF;5;2
93;r4;r2.4;r2.4a;25/03/2020;Rural;20 °C;Control;5;5
94;r4;r2.4;r2.4a;25/03/2020;Rural;24 °C;Control;5;5
317;r4;r4.1;r4.1b;03/04/2020;Rural;20 °C;Control;5;5
318;r4;r4.1;r4.1b;03/04/2020;Rural;24 °C;Control;5;5
343;r4;r4.1;r4.1a;05/04/2020;Rural;20 °C;Control;5;5
344;r4;r4.1;r4.1a;05/04/2020;Rural;24 °C;Control;5;5
189;r4;r4.1;r4.1b;27/03/2020;Rural;20 °C;CPF;5;1
190;r4;r4.1;r4.1b;27/03/2020;Rural;24 °C;CPF;5;2
247;r4;r4.1;r4.1a;29/03/1930;Rural;20 °C;CPF;5;3
248;r4;r4.1;r4.1a;29/03/2020;Rural;24 °C;CPF;5;5
109;r4;r4.2;r4.2a;25/03/2020;Rural;20 °C;Control;5;5
110;r4;r4.2;r4.2a;25/03/2020;Rural;24 °C;Control;5;5
229;r4;r4.2;r4.2b;29/03/2020;Rural;20 °C;Control;5;5
230;r4;r4.2;r4.2b;29/03/2020;Rural;24 °C;Control;5;5
283;r4;r4.2;r4.2a;31/03/2020;Rural;20 °C;CPF;5;2
284;r4;r4.2;r4.2a;31/03/2020;Rural;24 °C;CPF;5;2
385;r4;r4.2;r4.2b;10/04/2020;Rural;20 °C;CPF;5;0
386;r4;r4.2;r4.2b;10/04/2020;Rural;24 °C;CPF;5;0
265;r4;r4.3;r4.3a;30/03/2020;Rural;20 °C;Control;5;5
266;r4;r4.3;r4.3a;30/03/2020;Rural;24 °C;Control;5;5
392;r4;r4.3;r4.3b;09/04/2020;Rural;20 °C;Control;5;5
394;r4;r4.3;r4.3b;09/04/2020;Rural;24 °C;Control;5;5
129;r4;r4.3;r4.3b;25/03/2020;Rural;20 °C;CPF;5;0
130;r4;r4.3;r4.3b;25/03/2020;Rural;24 °C;CPF;5;0
251;r4;r4.3;r4.3a;29/03/1930;Rural;20 °C;CPF;5;1
252;r4;r4.3;r4.3a;29/03/2020;Rural;24 °C;CPF;5;5
143;r4;r4.4;r4.4b;26/03/2020;Rural;20 °C;Control;5;5
144;r4;r4.4;r4.4b;26/03/2020;Rural;24 °C;Control;5;5
233;r4;r4.4;r4.4a;29/03/2020;Rural;20 °C;Control;5;5
234;r4;r4.4;r4.4a;29/03/2020;Rural;24 °C;Control;5;5
79;r4;r4.4;r4.4a;24/03/2020;Rural;20 °C;CPF;5;1
80;r4;r4.4;r4.4a;24/03/2020;Rural;24 °C;CPF;5;0
311;r4;r4.4;r4.4b;02/04/2020;Rural;20 °C;CPF;5;2
312;r4;r4.4;r4.4b;02/04/2020;Rural;24 °C;CPF;5;1
61;r4;r4.5;r4.5a;24/03/2020;Rural;20 °C;Control;5;5
62;r4;r4.5;r4.5a;24/03/2020;Rural;24 °C;Control;5;5
227;r4;r4.5;r4.5b;29/03/2020;Rural;20 °C;Control;5;5
228;r4;r4.5;r4.5b;29/03/2020;Rural;24 °C;Control;5;5
357;r4;r4.5;r4.5b;06/04/2020;Rural;20 °C;CPF;5;0
